SDCBP SDC1
SDCBP TFCP2
SDCBP PSTPIP1
SDCBP ZCCHC10
SDCBP MBD3
SDCBP IHO1
SDCBP CALCOCO2
SDCBP PRPF40A
SDCBP FAM118B
SDCBP KRTAP10-3
SDCBP EAF1
SDCBP MID2
SDCBP MAD2L1
SDCBP ZBTB14
SDCBP STX1A
SDCBP CGGBP1
SDCBP GRIA4
SDCBP THG1L
SDCBP FOXP2
SDCBP SLC6A5
SDCBP C1orf109
SDCBP CADM1
SDCBP CDIPT
SDCBP CT45A5
SDCBP GRM3
SDCBP PTS
SDCBP SDCBP
SDCBP TRIM38
SDCBP GNMT
SDCBP DMC1
SDCBP SULT1B1
SDCBP PUF60
SDCBP NT5C2
SDCBP GRIA2
SDCBP CCDC102B
SDCBP CD6
SDCBP FAM118A
SDCBP PRR13
SDCBP APIP
SDCBP RP9P
SDCBP MED4
SDCBP EFNB2
SDCBP KCNH1
SDCBP PRPF38A
SDCBP SDCBP2
SDCBP PHC2
SDCBP GRIA3
SDCBP COX4I1
SDCBP NFASC
SDCBP KLHL2
SDCBP BCL2L15
SDCBP ENOX1
SDCBP ENTR1
SDCBP EPHB2
SDCBP TKFC
SDCBP TEC
SDCBP IKZF1
SDCBP CADPS
SDCBP GRIA1
SDCBP DCTPP1
SDCBP WDR91
SDCBP GRIK3
SDCBP EDARADD
SDCBP ERICH2
SDCBP ANKRD40
SDCBP SDC4
SDCBP KRTAP10-7
SDCBP NOTCH2NLA
SDCBP MEOX2
SDCBP MEOX1
SDCBP PIH1D2
SDCBP TRIP13
SDCBP ARL6IP1
SDCBP YIF1A
SDCBP RPRM
SDCBP HOMER3
SDCBP PFDN5
SDCBP RPRD1A
SDCBP POLR2J
SDCBP MYLIP
SDCBP SYPL1
SDCBP ZRANB1
SDCBP SCML1
SDCBP HHAT
SDCBP GSC2
SDCBP ZMYND12
SDCBP MGLL
SDCBP SNRPA
SDCBP ZNF343
SDCBP DERL3
SDCBP SYNGR1
SDCBP SCG3
SDCBP LEPROTL1
SDCBP CABP5
SDCBP UBE2R2
SDCBP ODAM
SDCBP CHIC2
SDCBP GSG1
SDCBP GOLT1B
SDCBP SRSF3
SDCBP FHL5
SDCBP ID3
SDCBP TCF21
SDCBP OCM
SDCBP HOXA7
SDCBP KCNJ2
SDCBP MATN4
SDCBP NAPB
SDCBP RALY
SDCBP CEP85
SDCBP CHMP1A
SDCBP PDLIM4
SDCBP EIF5A
SDCBP MKRN1
SDCBP KATNBL1
SDCBP PHF11
SDCBP C1orf35
SDCBP CALM2
SDCBP CTDSP1
SDCBP ZNF660
SDCBP N4BP3
SDCBP DYNLT1
SDCBP HMBOX1
SDCBP MINDY3
SDCBP GGPS1
SDCBP RPIA
SDCBP LURAP1L
SDCBP PDE9A
SDCBP HSF2BP
SDCBP S100B
SDCBP PCYT1A
SDCBP POLR3K
SDCBP PDZK1IP1
SDCBP RP9
SDCBP GKAP1
SDCBP BEND7
SDCBP PCBD1
