FLNC PHLDB2
PIK3R3 SH2D2A
PIK3R3 CEP19
PIK3R3 OLIG1
PIK3R3 WDFY3
PIK3R3 PPP1R12B
PIK3R3 TSPAN2
PIK3R3 PIK3CD
PIK3R3 GC
PIK3R3 KARS1
PIK3R3 CEP126
PIK3R3 MBIP
PIK3R3 ORM1
PIK3R3 ABI1
PIK3R3 FBN3
PIK3R3 PSME1
PIK3R3 PTEN
PIK3R3 RING1
PIK3R3 TEC
PIK3R3 QARS1
PIK3R3 KLC2
PIK3R3 DARS1
PIK3R3 TRMT2A
PIK3R3 FSD2
PIK3R3 VBP1
PIK3R3 SERF1A
PIK3R3 MICAL1
PIK3R3 AMBP
PIK3R3 SERF1B
PIK3R3 FGB
PIK3R3 ABCB6
PIK3R3 CD19
PIK3R3 DSN1
PIK3R3 LAP3
PIK3R3 ARID4B
PIK3R3 CHRDL2
PIK3R3 FNDC8
PIK3R3 NEBL
PIK3R3 YPEL3
PIK3R3 ANTKMT
PIK3R3 PBX4
PIK3R3 TASOR2
PIK3R3 NEDD9
PIK3R3 BLZF1
PIK3R3 ENKD1
PIK3R3 SSBP4
PIK3R3 PLAAT4
PIK3R3 TNNI1
PIK3R3 RUSC1
PIK3R3 DISC1
PIK3R3 C9orf24
PIK3R3 NAB2
PIK3R3 STAT5B
PIK3R3 PLEKHF2
PIK3R3 YES1
PIK3R3 ZNF620
PIK3R3 CCDC89
PIK3R3 ZBTB18
PIK3R3 SERTAD2
PIK3R3 SPATA32
PIK3R3 PRKAR1B
PIK3R3 KIAA0408
PIK3R3 CCDC196
PIK3R3 FAM166B
ELMO1 RAC1
ELMO1 APBB1
ELMO1 DOCK1
ELMO1 DOCK4
ELMO1 CDC27
ELMO1 HCK
ELMO1 ARL4A
ELMO1 DOCK3
ELMO1 DOCK5
ELMO1 FGD1
ELMO1 RHOG
TEAD4 RELA
TEAD4 RUNX1
TEAD4 NUTM1
TEAD4 GOLGA2
TEAD4 TRAF1
TEAD4 LDOC1
TEAD4 YAP1
TEAD4 TRIM27
TEAD4 KRT31
TEAD4 CEP55
TEAD4 HAUS1
TEAD4 MTUS2
TEAD4 TLE5
TEAD4 KRT40
TEAD4 CDR2
TEAD4 KIAA0753
TEAD4 DYDC1
TEAD4 RABGEF1
TEAD4 VTA1
TEAD4 CEP70
TEAD4 PNMA1
TEAD4 PDE4DIP
TEAD4 HOMEZ
TEAD4 WWTR1
