SGCD DTNA
PSMA1 CEP72
PSMA1 TUBA4A
PSMA1 DLEU1
PSMA1 LZTS2
PSMA1 FTSJ1
PSMA1 GNPTAB
PSMA1 TNR
PSMA1 KCTD17
PSMA1 PNMA5
PSMA1 APIP
PSMA1 C11orf49
PSMA1 ACTR6
PSMA1 SLX1B
PSMA1 HLA-B
PSMA1 TRIM10
PSMA1 ABI3
PSMA1 BLZF1
PSMA1 SLX1A
PSMA1 GUCD1
PSMA1 ACTN2
PSMA1 TEKT4
PSMA1 LZTS1
PSMA1 GOLGA6A
PSMA1 POLR1C
PSMA1 CCDC153
PSMA1 PM20D2
PSMA1 KCTD7
PSMA1 KRT34
PSMA1 HSF2BP
PSMA1 KRTAP6-3
PSMA1 LONRF1
PSMA1 KRTAP1-1
PSMA1 KRTAP1-3
PSMA1 DDIT4L
PSMA1 MIEF1
PSMA1 COG4
PSMA1 GSDMD
PSMA1 CABP5
PSMA1 KRT37
PSMA1 YPEL5
PSMA1 SLF2
PSMA1 HOXC11
PSMA1 SPDEF
PSMA1 FNDC11
PSMA1 BANF2
PSMA1 CHMP1A
PSMA1 KHDRBS3
PSMA1 PRPH
PSMA1 DYNLT1
PSMA1 WTAP
PSMA1 ZMYND19
PSMA1 PCBD1
PSMA1 NAB2
PSMA1 GPHN
PSMA1 DCTPP1
PSMA1 PCYT2
PSMA1 VMAC
PSMA1 KAZN
PSMA1 KRTAP4-1
PSMA1 C22orf39
PSMA1 NBPF19
PSMA1 CFAP206
FBXW11 DOCK1
FBXW11 SIPA1L1
FBXW11 MDM2
FBXW11 IQGAP2
DOCK1 MAP1LC3B
DOCK1 PTK2
DOCK1 RAC1
DOCK1 SRC
DOCK1 CYTH2
DOCK1 GRB2
DOCK1 FYN
DOCK1 BCAR1
DOCK1 CRK
DOCK1 ELMO1
DOCK1 TAMALIN
DOCK1 WASF2
DOCK1 CEBPE
DOCK1 NCK1
DOCK1 ITGB5
DOCK1 NCK2
DOCK1 ELMO2
DOCK1 ZHX2
DOCK1 RHOG
DOCK1 ANKRD28
DOCK1 VPS37C
SIPA1L1 USP11
SIPA1L1 DYRK1A
SIPA1L1 DLG4
SIPA1L1 SFN
SIPA1L1 CEBPE
SIPA1L1 NRXN1
MDM2 AKT1
MDM2 ARRB2
MDM2 ITCH
MDM2 PML
MDM2 MED1
MDM2 FBXW7
MDM2 DAXX
MDM2 EP300
MDM2 RB1
MDM2 CDKN1A
MDM2 TSG101
MDM2 IGF1R
MDM2 GADD45A
MDM2 PCNA
MDM2 CREBBP
MDM2 EEF1A1
MDM2 ESR1
