IL6R IL6
IL6R CNTF
IL6R IL6R
IL6R ERAP1
JUN HESX1
JUN SPI1
JUN MAF
JUN APP
JUN MAZ
UBE2I SETBP1
UBE2I FYB1
UBE2I TLK2
UBE2I CLTC
SETBP1 SET
SETBP1 PLEKHF2
SETBP1 SPANXA1
SETBP1 SPANXD
SETBP1 SUMO1P1
SETBP1 LRRC37A11P
SETBP1 YAF2
SETBP1 SETBP1
SETBP1 SPANXC
SETBP1 DENND11
SETBP1 SPANXA2
FYB1 SRC
FYB1 CBL
FYB1 FYN
FYB1 FASLG
FYB1 BCAR1
FYB1 WAS
FYB1 CBLB
FYB1 LCP2
FYB1 ABL1
FYB1 NCK1
FYB1 SKAP1
FYB1 SKAP2
FYB1 ENAH
FYB1 CARD11
FYB1 VASP
FYB1 BCL10
FYB1 MALT1
FYB1 SH2D1A
FYB1 EVL
SP1 BSG
SP1 APOE
SP1 GABPA
SP1 MAZ
SP1 DDX5
BSG KRAS
BSG UBC
BSG ITGB1
BSG CAV1
BSG HGS
BSG PSEN1
BSG SP3
BSG CANX
BSG HRAS
BSG PAK1
BSG APH1A
BSG NCSTN
BSG PPIA
BSG PDLIM7
BSG LIN37
BSG ATXN10
BSG UBE2A
BSG SLC2A4
BSG RANBP3
BSG NRAS
BSG RING1
BSG VDAC1
BSG SLC16A1
BSG OS9
BSG TUBA1C
BSG CRBN
BSG FBXO22
BSG TGOLN2
BSG MMP1
BSG USP50
BSG RYR1
BSG PPIL2
BSG PSMF1
BSG BSG
BSG SLC16A3
BSG SLC16A4
BSG ITGA3
BSG RFXANK
BSG AQP6
BSG SLC16A13
KAT5 APP
KAT5 UBTF
KAT5 UBASH3B
HDAC7 KLF16
EP300 MAF
EP300 ETV4
EP300 GABPA
EP300 CLTC
EP300 DDX5
SMAD3 CR1
SMAD3 ANK3
SMAD3 HDAC5
SMAD3 DDX5
SMARCA4 DDX5
SUV39H1 HDAC5
TLE1 HESX1
TLE1 HLA-DQA1
TLE1 UBTF
TLE1 ARL4D
RUNX1T1 ABI3
IKZF1 HDAC5
IKZF1 FRMD6
HIF1A HDAC5
HIF1A ETV4
IKZF3 HDAC5
IKZF3 CCHCR1
MYC ICA1
MYC UBTF
MYC EFTUD2
FOS CLU
FOS SPI1
FOS MAF
FOS APP
FOS MAZ
CBFB APP
VDR MED13
KAT6A SPI1
STUB1 POU5F1
SMARCC1 EFTUD2
DNMT1 EED
NFATC1 SPI1
NFATC1 HDAC5
TRAF6 IL1R1
TRAF6 MVP
SMAD1 ARL4D
AR ADAM10
AR EED
AR POU5F1
ETS1 SPI1
ETS1 MAF
TLE5 PCSK5
TLE5 GRN
TLE5 HEXIM2
TLE5 PTRH2
CEBPB SPI1
SMAD2 DOCK8
SMAD2 ANK3
SMAD2 ETV4
SMAD2 TGFBRAP1
SMAD2 ARL4D
EFNA2 ADAM10
FHL2 ADAM17
FHL2 PHF21A
PAX5 TLK2
TCF12 HEXIM2
TCF12 FRMD6
LEF1 UBTF
CEBPA SPI1
HGS SNX1
HGS APP
HGS DAAM2
HGS CLTC
HGS VMP1
GCC1 MEOX1
NFKBID NCK2
NFKBID CCHCR1
NFKBID TCF19
SNRPC EFTUD2
SNRPC DHX8
SNRPC DDX5
BANP C2orf83
BANP BLNK
BANP PHF21A
SUMO2 KIF18B
CSNK2A1 SPP1
CSNK2A1 APOE
CSNK2A1 MME
CSNK2A1 SPI1
CSNK2A1 ACE
CSNK2A1 UBTF
CSNK2A1 HEXIM1
CSNK2A1 MEOX1
CSNK2A1 MAZ
CSNK2A1 LEO1
SPP1 ITGB1
SPP1 ITGB3
SPP1 BAG6
SPP1 PRKCA
SPP1 ITGA5
SPP1 SGTA
SPP1 PRKG1
SPP1 PDLIM7
SPP1 CD44
SPP1 HCK
SPP1 ITGB5
SPP1 CSNK2A2
SPP1 CTNNBL1
SPP1 UBQLN4
SPP1 MEOX2
SPP1 ITGAV
SPP1 ITGB6
SPP1 HNF1B
SPP1 F2
SPP1 MMP3
SPP1 MMP7
SPP1 ABCF3
SPP1 ITGA9
SPP1 ACP5
SPP1 IGFBP5
SPP1 SGTB
SPP1 GET3
SPP1 NCS1
CTNNB1 CDH11
CTNNB1 PTPRJ
CTNNB1 LEO1
CTNNB1 DDX5
CDH11 FGFR1
CDH11 CRK
CDH11 CDH2
CDH11 ATF7IP
PTPRJ PLCG1
PTPRJ EGFR
PTPRJ ERBB2
PTPRJ JAK2
PTPRJ ALK
PTPRJ NTRK1
PTPRJ TRIM25
PTPRJ MAPK3
PTPRJ CBL
PTPRJ KIT
PTPRJ WAS
PTPRJ PDGFRB
PTPRJ GAB1
PTPRJ TNK2
PTPRJ EPOR
PTPRJ NOP2
PTPRJ CTNND1
PTPRJ JUP
PTPRJ CDH2
PTPRJ PXN
PTPRJ PPP1R12A
PTPRJ CSK
PTPRJ PDPK1
PTPRJ LCK
PTPRJ PKP4
PTPRJ LEPR
PTPRJ INSR
PTPRJ GHR
PTPRJ PTPRJ
PTPRJ NSF
PTPRJ GRIN2B
PTPRJ TIE1
PTPRJ TEK
PTPRJ IL2RG
PTPRJ TEC
PTPRJ SDCBP
MAPK1 PTPRE
MAPK1 PDE4B
MAPK1 ADAM17
MAPK1 TNIP1
MAPK1 BLNK
MAPK1 UBTF
MAPK1 DUSP3
PTPRE SRC
PTPRE CANX
PTPRE MAPK3
PTPRE GRB2
PTPRE FYN
PTPRE PDGFRB
PTPRE XPO1
PTPRE CSE1L
PTPRE KCNB1
PTPRE SAAL1
PTPRE XPO4
PTPRE PTPRE
PTPRE YES1
PTPRE PTPRS
PTPRE PTPRD
PTPRE KCNA5
PDE4B APOA1
PDE4B ALB
PDE4B PRKACA
PDE4B SMURF2
PDE4B PRKACB
PDE4B DISC1
PDE4B ADCY8
PDE4B ADCY1
PDE4B ADCY5
PDE4B GUCY1B1
PDE4B PRKACG
PDE4B ADCY4
PDE4B GUCY2F
PDE4B GUCY1A2
PDE4B NPR1
PDE4B GUCY1B2
PDE4B NPR2
PDE4B GUCY2D
PDE4B GUCY2C
PDE4B ADCY7
PDE4B ADCY9
PDE4B ADCY10
PDE4B ADCY3
PDE4B ADCY2
PDE4B GUCY1A1
PDE4B PDE4B
PDE4B ADCY6
PLCG1 BLNK
EGFR DOCK4
EGFR ALCAM
EGFR CLNK
EGFR PTK2B
EGFR NCK2
EGFR SNX1
EGFR APP
EGFR HEXIM1
EGFR DUSP3
EGFR UBASH3B
EGFR MAPK8IP1
DOCK4 GRB2
DOCK4 FASLG
DOCK4 ELMO2
DOCK4 HNRNPL
DOCK4 YWHAB
ALCAM CD6
ALCAM ALCAM
TRIB3 PCSK5
TRIB3 GRN
TRIB3 TCF19
PCSK5 APPBP2
PCSK5 ATN1
PCSK5 DBF4B
PCSK5 PRKCZ
