EEF1A1 NPM1
EEF1A1 TGIF1
EEF1A1 PIAS2
EEF1A1 SUMO2
EEF1A1 AXIN1
EEF1A1 H2AX
EEF1A1 PIAS1
EEF1A1 RBX1
EEF1A1 PLCG1
EEF1A1 SIRT1
EEF1A1 EGFR
EEF1A1 RPA2
EEF1A1 MCM4
EEF1A1 MCM5
EEF1A1 GADD45A
EEF1A1 ZPR1
EEF1A1 VARS1
EEF1A1 ABTB2
EEF1A1 RAF1
EEF1A1 SRRM2
EEF1A1 NOP56
EEF1A1 GSK3B
EEF1A1 GADD45G
EEF1A1 KRAS
EEF1A1 RAD23A
EEF1A1 TDRD3
EEF1A1 CUL4A
EEF1A1 PPP2R1A
EEF1A1 HSPA8
EEF1A1 ZBTB7A
EEF1A1 EEF1G
EEF1A1 RPS11
EEF1A1 RPL5
EEF1A1 RPL30
EEF1A1 RPL24
EEF1A1 RPL7A
EEF1A1 EEF2
EEF1A1 RPS8
EEF1A1 RPL10A
EEF1A1 RPL4
EEF1A1 RPL12
EEF1A1 RPL17
EEF1A1 RPL18A
EEF1A1 RPS14
EEF1A1 RPS3A
EEF1A1 RPS2
EEF1A1 RPS23
EEF1A1 RPS13
EEF1A1 TUBB
EEF1A1 RPS4X
EEF1A1 RPS5
EEF1A1 RPSA
EEF1A1 EEF1B2
EEF1A1 ILF2
EEF1A1 PABPC1
EEF1A1 EFTUD2
EEF1A1 FUS
EEF1A1 DDX1
EEF1A1 GAPDH
EEF1A1 RUVBL2
EEF1A1 PICALM
EEF1A1 ENO3
EEF1A1 GORASP2
EEF1A1 LIG4
EEF1A1 UBD
EEF1A1 HTRA2
EEF1A1 CD81
EEF1A1 STAT6
EEF1A1 PRKN
EEF1A1 PFKP
EEF1A1 ALPL
EEF1A1 STAU1
EEF1A1 ZDHHC17
EEF1A1 HNRNPA1
EEF1A1 SAMHD1
EEF1A1 ACTB
EEF1A1 EEF1D
EEF1A1 HSPA9
EEF1A1 NLGN3
EEF1A1 ABCC1
EEF1A1 SUGT1
EEF1A1 HYPK
EEF1A1 TTLL12
EEF1A1 CDK9
EEF1A1 LARP7
EEF1A1 ESR2
EEF1A1 ATP5F1C
EEF1A1 RPL3
EEF1A1 CDC42
EEF1A1 DLX4
EEF1A1 UPF1
EEF1A1 IMMT
EEF1A1 H2BC14
EEF1A1 RPL36A
EEF1A1 WDR77
EEF1A1 UBQLN4
EEF1A1 RPL22
EEF1A1 FBL
EEF1A1 RPS24
EEF1A1 RPS16
EEF1A1 YWHAG
EEF1A1 MRPS16
EEF1A1 TOP1
EEF1A1 DHX30
EEF1A1 PHF5A
EEF1A1 PRKCB
EEF1A1 GRB2
EEF1A1 RPL29
EEF1A1 YWHAH
EEF1A1 EPRS1
EEF1A1 PRPF3
EEF1A1 RPL18
EEF1A1 MRPS15
EEF1A1 RPL31
EEF1A1 FAS
EEF1A1 PHB
EEF1A1 PRKCI
EEF1A1 TBL2
EEF1A1 BRIX1
EEF1A1 RPS18
EEF1A1 KRR1
EEF1A1 TRMT10C
EEF1A1 RPL36
EEF1A1 MOV10
EEF1A1 RPL38
EEF1A1 SF3B2
EEF1A1 CDKN1A
EEF1A1 ZNF326
EEF1A1 SART3
EEF1A1 MED10
EEF1A1 BRMS1
EEF1A1 C4B
EEF1A1 MAP3K14
EEF1A1 RPL27A
EEF1A1 RPL13A
EEF1A1 IPO4
EEF1A1 PFN2
EEF1A1 SLC25A4
EEF1A1 PQBP1
EEF1A1 HNRNPC
EEF1A1 SARS2
EEF1A1 TPT1
EEF1A1 RAB27A
EEF1A1 PTPRCAP
EEF1A1 RSL1D1
EEF1A1 PSG9
EEF1A1 RPS3
EEF1A1 DIABLO
EEF1A1 SLC25A13
EEF1A1 SYNE1
EEF1A1 MME
EEF1A1 CKS2
EEF1A1 PCBP2
EEF1A1 EEF1A2
EEF1A1 TK1
EEF1A1 MYCBP
EEF1A1 CCDC130
EEF1A1 ILF3
EEF1A1 RPL28
EEF1A1 SSRP1
EEF1A1 VCL
EEF1A1 SMAD2
EEF1A1 CRADD
EEF1A1 XPO5
EEF1A1 NEDD8
EEF1A1 NOLC1
EEF1A1 RPL15
EEF1A1 TAF9
EEF1A1 NDUFA4
EEF1A1 RBM4
EEF1A1 MRPS23
EEF1A1 RPL7
EEF1A1 RPL27
EEF1A1 IPO8
EEF1A1 ORMDL3
EEF1A1 YBX1
EEF1A1 BTBD2
EEF1A1 EXOSC4
EEF1A1 NOP58
EEF1A1 RPS12
EEF1A1 RSRC1
EEF1A1 HNRNPL
EEF1A1 RPLP1
EEF1A1 DYNLL1
EEF1A1 TUFM
EEF1A1 AGO2
EEF1A1 MED19
EEF1A1 H2AC4
EEF1A1 PABPC4
EEF1A1 TEX10
EEF1A1 PWP1
EEF1A1 CUL3
EEF1A1 DICER1
EEF1A1 PHYHIP
EEF1A1 RNF10
EEF1A1 YWHAZ
EEF1A1 TUBA1A
EEF1A1 RFC5
EEF1A1 RPL14
EEF1A1 POLR1A
EEF1A1 DHCR7
EEF1A1 MYOC
EEF1A1 PRKCA
EEF1A1 SRP14
EEF1A1 ATP1A1
EEF1A1 SERPINB9
EEF1A1 PTPN4
EEF1A1 HNRNPU
EEF1A1 CSRP2
EEF1A1 DNAJA2
EEF1A1 KMT5C
EEF1A1 RPL23
EEF1A1 FXR2
EEF1A1 POLR1C
EEF1A1 RPS15A
EEF1A1 SSR4
EEF1A1 DDB1
EEF1A1 H2BC21
EEF1A1 POLE2
EEF1A1 PTCD3
EEF1A1 IGF2BP1
EEF1A1 RPL6
EEF1A1 RPL35A
EEF1A1 RPS27
EEF1A1 RPS29
EEF1A1 SNU13
EEF1A1 C18orf32
EEF1A1 HNRNPM
EEF1A1 HNRNPF
EEF1A1 KCNE3
EEF1A1 IPO9
EEF1A1 MAD2L1BP
EEF1A1 PRKCG
EEF1A1 RPLP2
EEF1A1 FBXL13
EEF1A1 OTOP2
EEF1A1 U2AF1
EEF1A1 TRDMT1
EEF1A1 PSMD11
EEF1A1 XRN2
EEF1A1 DHX15
EEF1A1 TTR
EEF1A1 ERCC4
EEF1A1 AGO1
EEF1A1 KIF1B
EEF1A1 MRPS2
EEF1A1 RPS17
EEF1A1 PAEP
EEF1A1 ZNF24
EEF1A1 UBE2E4P
EEF1A1 PPP2R2B
EEF1A1 MRPS22
EEF1A1 WDR18
EEF1A1 SRPK1
EEF1A1 CRCT1
EEF1A1 MATR3
EEF1A1 MCF2L
EEF1A1 PSMD2
EEF1A1 RNF149
EEF1A1 TMSB4X
EEF1A1 EBNA1BP2
EEF1A1 LRRC4
EEF1A1 RPS26P25
EEF1A1 PRKCZ
EEF1A1 HSP90AB1
EEF1A1 U2AF2
EEF1A1 PAFAH1B3
EEF1A1 WARS1
EEF1A1 TMPRSS3
EEF1A1 SF3B3
EEF1A1 ARIH2
EEF1A1 LAMTOR5
EEF1A1 H1-10
EEF1A1 GEMIN4
EEF1A1 TUBB1
EEF1A1 CLNS1A
EEF1A1 PRKCH
EEF1A1 EIF4B
EEF1A1 LSM3
EEF1A1 RPL13
EEF1A1 JDP2
EEF1A1 UBE2E3
EEF1A1 CUL4B
EEF1A1 TAB1
EEF1A1 GTF3C1
EEF1A1 RAD23B
EEF1A1 TARBP2
EEF1A1 PLAUR
EEF1A1 IKBKG
EEF1A1 RPS15
EEF1A1 TMEM33
EEF1A1 PAPSS1
EEF1A1 NAE1
EEF1A1 SF3B6
EEF1A1 CUL2
EEF1A1 ANXA7
EEF1A1 SLC4A5
EEF1A1 PELP1
EEF1A1 PSMD3
EEF1A1 RPS7
EEF1A1 PRKCQ
EEF1A1 PHB2
EEF1A1 SNCA
EEF1A1 HARS1
EEF1A1 GTPBP4
EEF1A1 GTF3C4
EEF1A1 EEF1A1
EEF1A1 LUC7L2
EEF1A1 EIF2A
EEF1A1 MYBBP1A
EEF1A1 RPL23A
EEF1A1 PRKCD
EEF1A1 RPLP0
EEF1A1 IGF2BP3
EEF1A1 RPL10
EEF1A1 POLR2C
EEF1A1 AGO4
EEF1A1 SULT1E1
EEF1A1 FLG2
EEF1A1 DDX47
EEF1A1 PAK1IP1
EEF1A1 FMR1
EEF1A1 H1-3
EEF1A1 HERC5
EEF1A1 STOML2
EEF1A1 HNRNPH2
EEF1A1 SUMO3
EEF1A1 RPN1
EEF1A1 CMSS1
EEF1A1 RPS6
EEF1A1 DHX36
EEF1A1 ATAD3B
EEF1A1 PRMT5
EEF1A1 MAGED2
EEF1A1 BBS4
EEF1A1 RPL21
EEF1A1 MED9
EEF1A1 RPL26
EEF1A1 SLC25A5
EEF1A1 RBM28
EEF1A1 MAPK13
EEF1A1 NAT10
EEF1A1 RRAS
EEF1A1 EIF4A3
EEF1A1 LAMA4
EEF1A1 CASP2
EEF1A1 DARS1
EEF1A1 TP53BP2
EEF1A1 SSR1
EEF1A1 EIF3F
EEF1A1 HNRNPUL1
EEF1A1 TCOF1
EEF1A1 ELAVL1
EEF1A1 RPS27L
EEF1A1 PRKCE
EEF1A1 COPA
EEF1A1 HSPD1
EEF1A1 MRPS5
EEF1A1 DDX21
EEF1A1 DLEU1
EEF1A1 DDOST
EEF1A1 BBS1
EEF1A1 RAP2A
EEF1A1 RPS20
EEF1A1 DDX19B
EEF1A1 C1QBP
EEF1A1 SCN1A
EEF1A1 RBM10
EEF1A1 GCN1
EEF1A1 GUSBP14
EEF1A1 TARS1
EEF1A1 HSPE1
EEF1A1 PDCD1
EEF1A1 SNRNP200
EEF1A1 DHX9
EEF1A1 NRAS
EEF1A1 MRPS27
EEF1A1 ACTG2
EEF1A1 SHBG
EEF1A1 RPL19
EEF1A1 EMD
EEF1A1 NREP
EEF1A1 SMN1
EEF1A1 SLC25A6
EEF1A1 LYAR
EEF1A1 PCNA
EEF1A1 TSPY10
EEF1A1 ARHGEF4
EEF1A1 TCP1
EEF1A1 RPS9
EEF1A1 RPL32
EEF1A1 PCDHA4
