HSP90AB1 EGLN1
HSP90AB1 LARP7
HSP90AB1 DLX4
HSP90AB1 UPF1
HSP90AB1 IMMT
HSP90AB1 RPS5
HSP90AB1 WDR77
HSP90AB1 RPL22
HSP90AB1 CD4
HSP90AB1 RPS24
HSP90AB1 EEF2
HSP90AB1 RPL5
HSP90AB1 DHX30
HSP90AB1 LCK
HSP90AB1 RPL29
HSP90AB1 EPRS1
HSP90AB1 RPL18
HSP90AB1 RPL18A
HSP90AB1 EEF1B2
HSP90AB1 RPS2
HSP90AB1 TBL2
HSP90AB1 HNRNPL
HSP90AB1 RPL13A
HSP90AB1 SAP30
HSP90AB1 MAP3K14
HSP90AB1 POLR1C
HSP90AB1 CSNK2A2
HSP90AB1 SF3B1
HSP90AB1 SLC25A6
HSP90AB1 PSMB5
HSP90AB1 SYNCRIP
HSP90AB1 RBM10
HSP90AB1 IKBKG
HSP90AB1 RPL12
HSP90AB1 SLC25A3
HSP90AB1 SF3B3
HSP90AB1 RPL10
HSP90AB1 SYNE1
HSP90AB1 ANXA1
HSP90AB1 VDAC3
HSP90AB1 EIF4A2
HSP90AB1 RPS12
HSP90AB1 AGO4
HSP90AB1 GEMIN4
HSP90AB1 RPL26
HSP90AB1 WNK1
HSP90AB1 DHX36
HSP90AB1 ATAD3B
HSP90AB1 ITGB2
HSP90AB1 FARSB
HSP90AB1 MAPK6
HSP90AB1 DHCR7
HSP90AB1 ALDOA
HSP90AB1 PSAT1
HSP90AB1 SLC25A13
HSP90AB1 PABPC3
HSP90AB1 WDR18
HSP90AB1 RPL4
HSP90AB1 TRAF2
HSP90AB1 PCBP2
HSP90AB1 PTPRB
HSP90AB1 RPL24
HSP90AB1 AGO3
HSP90AB1 RPLP0
HSP90AB1 AZI2
HSP90AB1 EIF3D
HSP90AB1 RPL17
HSP90AB1 EIF4B
HSP90AB1 MME
HSP90AB1 HSP90AB1
HSP90AB1 CFTR
HSP90AB1 ATP1A1
HSP90AB1 HSPA1B
HSP90AB1 RPL37A
HSP90AB1 EIF4EBP1
HSP90AB1 HSPH1
HSP90AB1 EIF3E
HSP90AB1 HSPA9
HSP90AB1 RPL35
HSP90AB1 TRADD
HSP90AB1 TBK1
HSP90AB1 RPL8
HSP90AB1 PI4KA
HSP90AB1 RPLP1
HSP90AB1 SIN3B
HSP90AB1 DDX3X
HSP90AB1 ELAVL1
HSP90AB1 RPS15A
HSP90AB1 FMR1
HSP90AB1 RPS4X
HSP90AB1 NFKBIB
HSP90AB1 PRKCZ
HSP90AB1 SSR1
HSP90AB1 MKNK1
HSP90AB1 RPL14
HSP90AB1 RPS10
HSP90AB1 SLC7A9
HSP90AB1 SLC34A1
HSP90AB1 FLG2
HSP90AB1 ARHGAP1
HSP90AB1 TNNT1
HSP90AB1 RPS20
HSP90AB1 SLC25A5
HSP90AB1 EIF3M
HSP90AB1 DIMT1
HSP90AB1 ATP1A3
HSP90AB1 MYCBP
HSP90AB1 IPO8
HSP90AB1 SPTAN1
HSP90AB1 MYG1
HSP90AB1 C1QBP
HSP90AB1 RIPK1
HSP90AB1 TAB1
HSP90AB1 RPL19
HSP90AB1 LRRC4
HSP90AB1 DHRS2
HSP90AB1 RPL7
HSP90AB1 TSSK6
HSP90AB1 PAK1IP1
HSP90AB1 SLC25A4
HSP90AB1 ACTN4
HSP90AB1 VDAC1
HSP90AB1 IGF2BP1
HSP90AB1 RPN1
HSP90AB1 PRKCH
HSP90AB1 MYBBP1A
HSP90AB1 EIF3C
HSP90AB1 PDCD1
HSP90AB1 DICER1
HSP90AB1 NDUFA4
HSP90AB1 AARS1
HSP90AB1 RPS26P25
HSP90AB1 PRMT5
HSP90AB1 CLNS1A
HSP90AB1 RPS11
HSP90AB1 AKT2
HSP90AB1 RPL6
HSP90AB1 OXA1L
HSP90AB1 AGO2
HSP90AB1 NR2C2
HSP90AB1 VDAC2
HSP90AB1 EIF3I
HSP90AB1 TARBP2
HSP90AB1 FAM162A
HSP90AB1 TEX10
HSP90AB1 OGT
HSP90AB1 H2BC6
HSP90AB1 RPL23
HSP90AB1 GTF3C1
HSP90AB1 FXR2
HSP90AB1 PSMD3
HSP90AB1 RPL30
HSP90AB1 PGK1
HSP90AB1 TNPO1
HSP90AB1 HNRNPH1
HSP90AB1 IARS2
HSP90AB1 LAS1L
HSP90AB1 IPO4
HSP90AB1 RPS8
HSP90AB1 MCF2L
HSP90AB1 WDR5
HSP90AB1 MTHFD1
HSP90AB1 RIPK3
HSP90AB1 OTOP2
HSP90AB1 RPS27L
HSP90AB1 GCN1
HSP90AB1 LAMA3
HSP90AB1 ANXA6
HSP90AB1 SART3
HSP90AB1 PHB2
HSP90AB1 AGO1
HSP90AB1 SUDS3
HSP90AB1 FASN
HSP90AB1 RAN
HSP90AB1 GTF3C4
HSP90AB1 MOV10
HSP90AB1 MDH1
HSP90AB1 ZNF326
HSP90AB1 POLR1A
HSP90AB1 RPL27A
HSP90AB1 SSRP1
HSP90AB1 MATR3
HSP90AB1 DDX18
HSP90AB1 RAF1
HSP90AB1 HES4
HSP90AB1 DNAJA2
HSP90AB1 RPS3A
HSP90AB1 FBXO33
HSP90AB1 PSMD1
HSP90AB1 TANK
HSP90AB1 ILF3
HSP90AB1 RPS18
HSP90AB1 IPO9
HSP90AB1 DDOST
HSP90AB1 YWHAB
HSP90AB1 RPL23A
HSP90AB1 COPA
HSP90AB1 TPM3
HSP90AB1 UBA1
HSP90AB1 LDHA
HSP90AB1 IKBKE
HSP90AB1 GEMIN2
HSP90AB1 TAB3
HSP90AB1 RPL13
HSP90AB1 TAF1D
HSP90AB1 NFKBIE
HSP90AB1 STARD13
HSP90AB1 SSR4
HSP90AB1 MYL6
HSP90AB1 KPNB1
HSP90AB1 EMD
HSP90AB1 XPO1
HSP90AB1 EIF4A3
HSP90AB1 HCFC1
HSP90AB1 TMEM33
HSP90AB1 GTPBP4
HSP90AB1 IGF2BP3
