MAP2K4 BLNK
REL CGGBP1
REL STK16
REL ACOT8
REL MAD2L2
REL IL36RN
REL OSTF1
REL HSPB7
REL OSGIN1
REL EXOSC1
REL CINP
REL OAZ3
REL TRAPPC2L
REL C1orf109
REL MAGOHB
REL ASAP3
REL EIF5A2
REL EXOSC5
REL NGB
REL DMRT3
REL PGAP6
REL PARVG
REL OTUB2
REL ATG9A
REL SNRNP25
REL FLAD1
REL TSSK3
REL C11orf68
REL PLEKHN1
REL MIEN1
REL CEP19
REL EGLN3
REL EFHC1
REL NR2C2AP
REL GLYCTK
REL TSTD2
REL CPNE2
REL NEIL2
REL ZDHHC24
REL SEC14L4
REL BTRC
REL RELB
REL HIF1AN
REL ACTG1
REL GRB2
REL POLR1G
REL LSM2
REL HSPA1A
REL MCC
REL TBP
REL PTGER3
REL RPS13
REL MAP3K14
REL PPP6C
REL MTIF2
REL TUBB
REL IKBKG
REL RBM39
REL COMMD1
REL IKBKB
REL GTF2B
REL CALM3
REL ZNF417
REL PSMA1
REL CDK2
REL IKBKE
REL SKP1
REL POLR1A
REL TLE5
REL ALOX5
REL NAGK
REL MAP3K8
REL CALM2
REL HNRNPH1
REL IL2RA
REL ARIH2
REL RPL6
REL SEC16A
REL POLR2H
REL CDKN2C
REL DDX3X
REL NME7
REL CHUK
REL POLR1D
REL POLR1E
REL CLTC
REL LASP1
REL KRTAP9-4
REL FHL2
REL SAT1
REL NUDT14
REL NOTCH1
REL ZNF564
REL FNDC11
REL AGPAT4
REL CCNE1
REL CALM1
REL SZT2
REL C9orf72
REL HSPA6
REL HIP1
REL TTC19
REL DYNC1LI1
REL NDUFAF3
REL ZNF572
REL EXOSC8
REL TXNL4B
REL REL
REL RNF213
REL C12orf75
REL DAAM2
REL PLCB4
REL BCL2A1
REL TBK1
REL FUT11
REL PTK6
REL COL8A1
REL LMO1
REL TUBA3C
REL IQGAP2
REL CPSF1
REL RECK
REL CHCHD2
REL PIH1D2
REL KLHL40
REL EIF4E2
REL RPL30
REL EML2
REL KPNA2
REL PRDM10
REL BID
REL MORF4L1
REL UACA
REL TNIP1
REL KLHL32
REL ELF1
REL UBE2Z
REL POP5
REL NEUROG3
REL LNPEP
REL POLE2
REL ACTN3
REL RABIF
REL CKS1B
REL EIF3A
REL VPS25
REL FOXP3
REL ANKHD1
REL SLC6A12
REL ZNF550
REL NXT2
REL UBASH3A
REL HSPA5
REL TUBA3D
REL DNTT
REL SLC41A3
REL POLR1B
REL PDCD2
REL TTC21A
REL GADD45G
REL CCNJL
REL WDR37
REL PAPOLA
REL TNS2
REL SEC31A
REL SLC39A13
REL MAP3K7CL
REL PATE1
REL R3HDM2
REL ATPAF2
REL RSPH14
REL HSPA1L
REL KIAA0100
REL COPB2
REL NOL9
REL EPM2AIP1
REL RIPPLY1
REL RAB41
REL LGALS14
REL CABP5
REL TRIM74
REL ZNF765
REL CTNNBIP1
REL USP9X
REL NECAP1
REL TUBB4A
REL ANKRD28
REL HSPA9
REL BARHL2
REL BMF
REL REXO1L6P
REL CIB3
REL NEDD9
REL COL20A1
REL SPAG9
REL GTF2I
REL NKRF
REL HLA-DOA
REL FOXO4
REL IFNB1
REL EIF3D
REL MEMO1
REL MRPL10
REL TNF
REL KPNA3
REL RASAL2
REL GLG1
REL TSSC4
REL CUL1
REL SEPTIN7
REL OTUD4
REL C1QBP
REL NUCB1
REL A1CF
REL FKBP5
REL ZNF76
REL MAPRE3
REL TLX3
REL GPKOW
REL LENG1
REL CDK18
REL TSC22D3
REL FAM90A1
REL C14orf119
REL CTNNA3
REL NOXA1
REL UBASH3B
REL FNDC3B
REL MBD3
REL MID2
REL L3MBTL2
REL EMD
REL PELI2
REL EIF4A3
REL PM20D2
REL UBXN7
REL ACOT12
REL TCP11L1
REL KCTD7
REL PICK1
REL PSORS1C2
REL TRAPPC6A
REL DEF6
REL PSMA4
REL TBC1D22B
REL UBE2D4
REL RUNX1T1
REL THOC1
REL CACNA1S
REL ZNF446
REL HSD17B14
REL MMP2
REL KLHL42
REL SULT2B1
REL SPG21
REL TCL1A
REL AKT2
REL YJU2
REL PRPF31
REL SMG9
REL NMRK1
REL CDR2L
REL CHIC2
REL DDX6
REL CCNC
REL EHHADH
REL BCL6
REL RAB29
REL NUDT10
REL MORF4L2
REL ARMC7
REL SIX1
REL CDKN2D
REL CLIP1
REL RTL8C
REL STAMBPL1
REL SUOX
REL PADI3
REL C1orf56
REL ATP6V1C2
REL ATP6V0D2
REL SHC3
REL MIPOL1
REL ZIC1
REL GRAP
REL SPATC1L
REL FAAP20
REL C1orf74
REL SCNM1
REL SPRY1
REL CYB5R2
REL TBC1D21
REL TRIM68
REL KCTD6
REL ASMTL
REL QARS1
REL ESRRA
REL NABP1
REL MSRB3
REL CPNE7
REL RAD23A
REL MTURN
REL MB21D2
REL RAD51D
REL PCYT2
REL SAMD11
REL BCL2L15
REL ESRRG
REL WNK3
REL TSEN15
REL PSMB8
REL ARL16
REL ZBED8
REL AQP1
REL MYO15B
REL CFAP206
AGR2 UTRN
AGR2 FAM117B
UTRN SP1
UTRN CAV1
UTRN NOS3
UTRN ELK1
UTRN SP3
UTRN GABPA
UTRN DAG1
UTRN PLEKHA2
UTRN TNS2
UTRN ACTA1
UTRN MARK2
UTRN PIK3CG
UTRN MARCHF5
UTRN USP21
UTRN DISC1
UTRN DMD
UTRN DTNA
UTRN SNTA1
UTRN SNTB2
UTRN SNTB1
UTRN DTNB
UTRN ADRA1D
UTRN MME
UTRN ACTN2
UTRN DRP2
UTRN UTRN
UTRN PGM5
UTRN ABCA1
FAM117B BANP
FAM117B DYRK1A
FAM117B SFN
FAM117B DYRK1B
FAM117B KEAP1
FAM117B DYNLL1
FAM117B DYNLL2
ANK3 TIAM1
ANK3 SMAD3
TIAM1 MYC
TIAM1 RAC1
TIAM1 SRC
TIAM1 PRKCD
TIAM1 YWHAG
TIAM1 MAPK8IP1
TIAM1 ALB
TIAM1 MAPK8IP2
TIAM1 PRKCA
TIAM1 PRKCB
TIAM1 HRAS
TIAM1 EPHA2
TIAM1 BTRC
TIAM1 ANK1
TIAM1 PSMA7
TIAM1 PARD3
TIAM1 CSNK1A1
TIAM1 YWHAH
TIAM1 PRKCZ
TIAM1 CD44
TIAM1 PRKCE
TIAM1 NTRK2
TIAM1 NSD2
TIAM1 EFNB1
TIAM1 CFTR
TIAM1 SETDB1
TIAM1 PPP1R9B
TIAM1 PRKCG
TIAM1 IGHA1
TIAM1 TIAM1
TIAM1 IGHM
TIAM1 CAMK2G
TIAM1 NME1
TIAM1 ABCA1
SMAD3 MAPK8
SMAD3 AKT1
SMAD3 MAPK9
SMAD3 MAPK14
SMAD3 MAP3K7
SMAD3 PML
SMAD3 ZBTB16
SMAD3 SMAD4
SMAD3 ZFYVE9
SMAD3 TP53
SMAD3 CREBBP
SMAD3 NCOR1
SMAD3 HDAC1
SMAD3 SKI
SMAD3 JUN
SMAD3 SP1
SMAD3 RUNX1
SMAD3 TGIF1
SMAD3 AXIN1
SMAD3 USP7
SMAD3 CTNNB1
SMAD3 RBX1
SMAD3 PIN1
SMAD3 HIPK2
SMAD3 ZMYM2
SMAD3 MAPK1
SMAD3 MYC
SMAD3 RNF111
SMAD3 XRCC6
SMAD3 LMNA
SMAD3 AR
SMAD3 NR3C1
SMAD3 MYOD1
SMAD3 EP300
SMAD3 ESR1
SMAD3 PIAS3
SMAD3 HIF1A
SMAD3 SMARCA4
SMAD3 CDK9
SMAD3 GGA1
SMAD3 UBC
SMAD3 HSPA8
SMAD3 HGS
SMAD3 GSK3B
SMAD3 CLASRP
SMAD3 CITED2
SMAD3 BRCA1
SMAD3 CDC25A
SMAD3 CDK2
SMAD3 RBL1
SMAD3 ATF2
SMAD3 NEDD9
SMAD3 BRCA2
SMAD3 ANAPC10
SMAD3 FOXO3
SMAD3 NOTCH1
SMAD3 EID2
SMAD3 PIAS4
SMAD3 ATF3
SMAD3 ERBIN
SMAD3 SKIL
SMAD3 DAB2
SMAD3 FOS
SMAD3 KPNB1
SMAD3 E2F4
SMAD3 RUNX2
SMAD3 TFE3
SMAD3 MAX
SMAD3 SMURF2
SMAD3 SMAD2
SMAD3 MECOM
SMAD3 FOXH1
SMAD3 JUNB
SMAD3 RUNX3
SMAD3 SNW1
SMAD3 CEBPD
SMAD3 LEF1
SMAD3 CSNK1G2
SMAD3 UCHL5
SMAD3 NEDD4
SMAD3 WWP1
SMAD3 SMURF1
SMAD3 MYOCD
SMAD3 YY1
SMAD3 KAT2B
SMAD3 HDAC5
SMAD3 HDAC4
SMAD3 VDR
SMAD3 SMARCC2
SMAD3 TRIM33
SMAD3 CTCF
SMAD3 WWP2
SMAD3 HNF4A
SMAD3 NUP214
SMAD3 USP15
SMAD3 EPAS1
SMAD3 ZEB2
SMAD3 NEDD4L
SMAD3 ZMIZ1
SMAD3 CSNK1D
SMAD3 LEMD3
SMAD3 DOCK9
SMAD3 SMAD1
SMAD3 TGFBR1
SMAD3 S100A4
SMAD3 SMAD3
SMAD3 CDK4
SMAD3 DEDD
SMAD3 SH2D2A
SMAD3 IRF7
SMAD3 TSC2
SMAD3 FHL1
SMAD3 FHL2
SMAD3 FHL3
SMAD3 TGFB1I1
SMAD3 MYD88
SMAD3 PCK2
SMAD3 SQSTM1
SMAD3 PPP1R12C
SMAD3 RNF31
SMAD3 ZC3H12A
SMAD3 TSC22D4
SMAD3 SETD2
SMAD3 CHRD
SMAD3 OTUB1
SMAD3 TRIM62
SMAD3 FOXM1
SMAD3 CCDC33
SMAD3 SMAD7
SMAD3 WWOX
SMAD3 HYAL2
SMAD3 SF3A1
SMAD3 GRB2
SMAD3 VIM
SMAD3 NFYC
SMAD3 MEOX2
SMAD3 RRAS2
SMAD3 TOB1
SMAD3 SNRNP70
SMAD3 DDX5
SMAD3 SMAD9
SMAD3 SF3B2
SMAD3 ETS1
SMAD3 TGFBR2
SMAD3 CDK8
SMAD3 SKP1
SMAD3 ZEB1
SMAD3 MMP1
SMAD3 TLE5
SMAD3 CEBPB
SMAD3 ESR2
SMAD3 TGM2
SMAD3 KMT2B
SMAD3 FOXO1
SMAD3 HEY1
SMAD3 SMARCC1
SMAD3 ACTB
SMAD3 FOXG1
SMAD3 CHUK
SMAD3 TPM3
SMAD3 SREBF2
SMAD3 PAEP
SMAD3 YBX1
SMAD3 PARD3
SMAD3 PSMD11
SMAD3 TGFB2
SMAD3 RPLP0
SMAD3 BTRC
SMAD3 EIF4ENIF1
SMAD3 STUB1
SMAD3 PRKAR2A
SMAD3 NUP153
SMAD3 RIT1
SMAD3 PPP2R1A
SMAD3 TEKT4
SMAD3 SPTBN1
SMAD3 EPB41
SMAD3 RSPH3
SMAD3 MCM3AP
SMAD3 ACVR1B
SMAD3 PCDH1
SMAD3 PAX8
SMAD3 KLHL9
SMAD3 KDM2A
SMAD3 ZDHHC4
SMAD3 NOTCH4
SMAD3 CR1
SMAD3 FOSB
SMAD3 KRT10
SMAD3 PARD3B
SMAD3 SVEP1
SMAD3 RASD2
SMAD3 SAP130
SMAD3 PTHLH
SMAD3 CCDC186
SMAD3 PEX6
SMAD3 EBI3
SMAD3 TFDP1
SMAD3 ZNF83
SMAD3 RAB38
SMAD3 CSH1
SMAD3 CDC16
SMAD3 MAGI2
SMAD3 MED15
SMAD3 GSC
SMAD3 CUL1
SMAD3 CXXC5
SMAD3 MYO5B
SMAD3 WEE1
SMAD3 KANSL1
SMAD3 FOXO4
SMAD3 CSH2
SMAD3 NCOA6
SMAD3 PLAG1
SMAD3 CDC27
SMAD3 IL37
SMAD3 VSIR
SMAD3 FLI1
SMAD3 RASL12
SMAD3 JUND
SMAD3 PLAGL1
SMAD3 PRDM16
SMAD3 ODC1
SMAD3 PRKAR1B
SMAD3 CFDP1
SMAD3 COL7A1
SMAD3 ARID1B
SMAD3 MDM4
SMAD3 IL36RN
SMAD3 CDH1
SMAD3 PYGL
SMAD3 CYP11A1
SMAD3 SS18L1
SMAD3 CRK
SMAD3 NCOA3
SMAD3 GMEB1
SMAD3 AXIN2
SMAD3 GLI3
SMAD3 DVL1
SMAD3 ZNF8
SMAD3 SECISBP2L
SMAD3 STRAP
SMAD3 MTF2
SMAD3 HOXC11
SMAD3 FOXL2
SMAD3 PHC2
SMAD3 PRDM4
SMAD3 KRT2
SMAD3 ZNF329
SMAD3 GTF2IRD1
SMAD3 CEBPA
SMAD3 SRY
SMAD3 CPSF7
SMAD3 PDZRN3
SMAD3 MBD1
SMAD3 DACH1
SMAD3 ST6GALNAC2
SMAD3 E2F5
SMAD3 ZNF184
SMAD3 PRTN3
SMAD3 SERPINE1
SMAD3 JPH3
SMAD3 RANBP9
SMAD3 CAMK2G
SMAD3 TGIF2
SMAD3 TP73
SMAD3 JPH1
SMAD3 AGL
SMAD3 BLZF1
SMAD3 ZBTB3
SMAD3 PAPPA
SMAD3 TMED1
SMAD3 BMP7
SMAD3 HEYL
SMAD3 FAM90A1
SMAD3 PSMB1
SMAD3 CCDC198
SMAD3 ZNF774
SMAD3 SBK3
MAPK8 NR4A1
MAPK8 HDAC9
MAPK8 BCL2L1
MAPK8 BCL2
MAPK8 BID
MAPK8 PPARG
MAPK8 JDP2
MAPK8 ZFP36
MAPK8 CCDC88C
NR4A1 AKT1
NR4A1 PML
NR4A1 MED1
NR4A1 TP53
NR4A1 NCOR2
NR4A1 RXRA
NR4A1 STAT3
NR4A1 EP300
NR4A1 CTNNB1
NR4A1 BCL2
NR4A1 VHL
NR4A1 TRIM28
NR4A1 TRAF2
NR4A1 NCOA1
NR4A1 PRDX4
NR4A1 MTA2
NR4A1 MYBBP1A
NR4A1 PELP1
NR4A1 NDRG1
NR4A1 PSMC5
NR4A1 KRTAP10-1
NR4A1 EEF1A1
NR4A1 NR3C1
NR4A1 YWHAZ
NR4A1 MAPK1
NR4A1 HSP90AB1
NR4A1 TOP2A
NR4A1 ZNF579
NR4A1 CHD3
NR4A1 ALDOC
NR4A1 TCF4
NR4A1 RPS6KA6
NR4A1 MPDZ
NR4A1 LONRF1
NR4A1 ATXN1
NR4A1 SMARCC1
NR4A1 HES1
NR4A1 RPL7
NR4A1 SERPINA4
NR4A1 NCOA2
NR4A1 PCDHGC3
NR4A1 HDAC6
NR4A1 GADD45GIP1
NR4A1 PHIP
NR4A1 HNRNPA2B1
NR4A1 CYP11B2
NR4A1 AKT3
NR4A1 RPS6KA3
NR4A1 ARHGEF10L
NR4A1 FABP3
NR4A1 PREPL
NR4A1 GLOD4
NR4A1 ESF1
NR4A1 MED31
NR4A1 BCL2A1
NR4A1 SERPINE1
NR4A1 BCL2L10
NR4A1 POLA2
NR4A1 CLU
NR4A1 MYT1L
NR4A1 PPBP
NR4A1 FAF1
NR4A1 HSP90B1
NR4A1 CHD4
NR4A1 HIF1A
NR4A1 RPS6KA1
NR4A1 CENPB
NR4A1 NCOA3
NR4A1 HSPH1
NR4A1 ANKIB1
NR4A1 RTN4
NR4A1 E2F1
NR4A1 NR4A1
NR4A1 CDKN2D
NR4A1 SMARCE1
NR4A1 PGBD1
NR4A1 CUTA
NR4A1 BBS10
NR4A1 AKT2
NR4A1 MATR3
NR4A1 ERC1
NR4A1 KAT2B
NR4A1 ZNF331
NR4A1 TERF1
NR4A1 ROBO2
NR4A1 NACAD
NR4A1 CHMP2B
NR4A1 FXYD3
NR4A1 DCAF1
NR4A1 TUBB4A
NR4A1 SEPTIN4
NR4A1 RPS6KA5
NR4A1 KRTAP10-5
NR4A1 RXRG
NR4A1 VASP
NR4A1 TMOD3
HDAC9 MAPK9
HDAC9 MAPK10
HDAC9 ZBTB16
HDAC9 SUMO1
HDAC9 SIN3A
HDAC9 NCOR1
HDAC9 HDAC1
HDAC9 HDAC3
HDAC9 SUMO2
HDAC9 ESR1
HDAC9 SYK
HDAC9 YWHAG
HDAC9 MEF2D
HDAC9 MEF2A
HDAC9 MAML1
HDAC9 H4-16
HDAC9 BCL6
HDAC9 CTBP1
HDAC9 YWHAZ
HDAC9 ETV6
HDAC9 CBX5
HDAC9 TRIM29
HDAC9 SUV39H1
HDAC9 YWHAE
HDAC9 HDAC4
HDAC9 WNK1
HDAC9 HCK
HDAC9 SIN3B
HDAC9 H3C14
HDAC9 NRIP1
HDAC9 H4C6
HDAC9 HEY2
HDAC9 USF1
HDAC9 PKD1
HDAC9 MEF2C
HDAC9 RFXANK
HDAC9 HDAC9
HDAC9 PKN1
HDAC9 H3C15
HDAC9 MORF4L2
HDAC9 PCBP1
HDAC9 CAMK1
BCL2L1 MAPK9
BCL2L1 TP53
BCL2L1 UBE2I
BCL2L1 RNF4
BCL2L1 CDKN2A
BCL2L1 CDK1
BCL2L1 MTOR
BCL2L1 CAPN1
BCL2L1 BLK
BCL2L1 SNCA
BCL2L1 BCAP31
BCL2L1 PRKN
BCL2L1 CLU
BCL2L1 CRYAB
BCL2L1 PSEN1
BCL2L1 APC
BCL2L1 BCL6
BCL2L1 PDIA4
BCL2L1 IRS1
BCL2L1 ABL1
BCL2L1 ACTB
BCL2L1 IRS2
BCL2L1 IKZF3
BCL2L1 PPP1CA
BCL2L1 BCL2
BCL2L1 CASP1
BCL2L1 RAD9A
BCL2L1 TPT1
BCL2L1 PSEN2
BCL2L1 TP53BP2
BCL2L1 RTN4
BCL2L1 BECN1
BCL2L1 AVEN
BCL2L1 BNIP3
BCL2L1 RTN1
BCL2L1 BIK
BCL2L1 BAK1
BCL2L1 BID
BCL2L1 PMAIP1
BCL2L1 BCL2L11
BCL2L1 BBC3
BCL2L1 BAD
BCL2L1 BAX
BCL2L1 HRK
BCL2L1 VDAC1
BCL2L1 CYCS
BCL2L1 RAF1
BCL2L1 CASP9
BCL2L1 APAF1
BCL2L1 BLID
BCL2L1 PARK7
BCL2L1 BMF
BCL2L1 CRYAA
BCL2L1 USP14
BCL2L1 RNF183
BCL2L1 RYR3
BCL2L1 TLE1
BCL2L1 BCLAF1
BCL2L1 CFLAR
BCL2L1 PPHLN1
BCL2L1 CASP8
BCL2L1 BNIPL
BCL2L1 DOCK7
BCL2L1 EDRF1
BCL2L1 NLRP1
BCL2L1 LARP1
BCL2L1 DYNLL1
BCL2L1 SIVA1
BCL2L1 RBM5
BCL2L1 UBR1
BCL2L1 FKBP8
BCL2L1 TMBIM6
BCL2L1 METTL23
BCL2L1 FBP1
BCL2L1 PTN
BCL2L1 GLOD4
BCL2L1 BCL2L14
BCL2L1 CASP2
BCL2L1 CREB3
BCL2L1 SPIN1
BCL2L1 BCL2L10
BCL2L1 SPNS1
BCL2L1 DYNLRB1
BCL2L1 ANTXR1
BCL2L1 ZHX1
BCL2L1 MCL1
BCL2L1 MOAP1
BCL2L1 BNIP3L
BCL2L1 BCL2L12
BCL2L1 BNIP1
BCL2L1 PPP1CC
BCL2L1 BAG1
BCL2L1 PLD3
BCL2L1 BCL2L1
BCL2L1 DNM1L
BCL2L1 RHBDD2
BCL2L1 GNLY
BCL2L1 ELOVL4
BCL2L1 GORAB
BCL2L1 MTIF3
BCL2L1 G0S2
BCL2L1 ERGIC3
BCL2L1 GOLM1
BCL2L1 TMEM50B
BCL2L1 RIC3
BCL2L1 REEP4
BCL2L1 C10orf67
BCL2L1 BNIP5
BCL2 MAPK9
BCL2 MAPK10
BCL2 MAPK14
BCL2 MAPK11
BCL2 TP53
BCL2 RUNX1
BCL2 PIN1
BCL2 MAPK1
BCL2 MYC
BCL2 MAPK7
BCL2 PARP1
BCL2 CDK1
BCL2 HIF1A
BCL2 BLK
BCL2 KRAS
BCL2 BCAP31
BCL2 PRKN
BCL2 PSEN1
BCL2 BRCA1
BCL2 CDX2
BCL2 PPARA
BCL2 CDK2
BCL2 E2F1
BCL2 PRKCA
BCL2 MAPK3
BCL2 HRAS
BCL2 RRAS
BCL2 IRS1
BCL2 IRS2
BCL2 BAG3
BCL2 PPP1CA
BCL2 PPP1CB
BCL2 PSEN2
BCL2 ITPR1
BCL2 BNIPL
BCL2 BNIP2
BCL2 SMN1
BCL2 TP53BP2
BCL2 RTN4
BCL2 BECN1
BCL2 BIK
BCL2 HRK
BCL2 BID
BCL2 PMAIP1
BCL2 BCL2L11
BCL2 BBC3
BCL2 BAD
BCL2 BAX
BCL2 SOD1
BCL2 BAK1
BCL2 CAPN2
BCL2 RAF1
BCL2 RAD9A
BCL2 BMF
BCL2 PPP2CA
BCL2 CASP8
BCL2 AVEN
BCL2 FKBP8
BCL2 PPP3CA
BCL2 BNIP3
BCL2 BNIP3L
BCL2 HSP90AA1
BCL2 BFAR
BCL2 MDM4
BCL2 SQSTM1
BCL2 PPID
BCL2 BCL2
BCL2 SEPTIN4
BCL2 XIAP
BCL2 PRKACA
BCL2 ATP2A2
BCL2 BCL2L14
BCL2 PKMYT1
BCL2 EPHB2
BCL2 CASP2
BCL2 TMBIM6
BCL2 ITM2B
BCL2 MAPK4
BCL2 NLRP1
BCL2 CYCS
BCL2 BCL2L10
BCL2 MITF
BCL2 SIVA1
BCL2 MAPK6
BCL2 PPP3R1
BCL2 GLI2
BCL2 BNIP1
BCL2 MCL1
BCL2 BCLAF1
BCL2 BLID
BCL2 SPNS1
BCL2 PPP1CC
BCL2 MAPK12
BCL2 TP53AIP1
BCL2 CPT1A
BCL2 NMT2
BCL2 BAG1
BCL2 VRK2
BCL2 HSPA1A
BCL2 BAG4
BCL2 SF1
BCL2 GLI1
BCL2 GLI3
BCL2 TOMM20
BCL2 SPIN1
BCL2 PPP2R5A
BCL2 VDAC1
BCL2 DYNLL1
BCL2 NRAS
BCL2 SERPINB8
BCL2 MOAP1
BCL2 PTPA
BCL2 MAPK13
BCL2 CASP3
BID CSNK2A1
BID GAPDH
BID RPA1
BID CAPN1
BID CSNK2B
BID FASLG
BID TNFRSF1A
BID BAG3
BID EZR
BID CSNK1D
BID CASP1
BID RHOA
BID AHCYL1
BID CSNK1A1
BID CASP3
BID FAS
BID BCL2A1
BID FADD
BID BCL2L2
BID MCL1
BID CASP8
BID CASP2
BID ARHGDIA
BID TLE1
BID TUBB2B
BID MSN
BID CSNK2A2
BID SETDB1
BID BAK1
BID CRMP1
BID RBM48
BID YWHAB
BID GBP2
BID ZHX1
BID FBN3
BID CASP10
BID PLEKHM1
BID BAX
BID GZMB
BID ERG28
BID CAPN2
BID BID
BID PAK5
BID CSNK1E
BID TNFRSF10B
BID DDIT4L
PPARG MAPK9
PPARG PML
PPARG POU1F1
PPARG MED1
PPARG TP53
PPARG CREBBP
PPARG NCOR2
PPARG NCOR1
PPARG HDAC1
PPARG HDAC3
PPARG RARA
PPARG RXRA
PPARG RB1
PPARG RELA
PPARG UBE2I
PPARG SP1
PPARG KAT5
PPARG PIAS1
PPARG USP7
PPARG CTNNB1
PPARG PIN1
PPARG MAPK1
PPARG SIRT1
PPARG EGFR
PPARG STAT1
PPARG USP11
PPARG HNRNPUL1
PPARG EP300
PPARG NCOA1
PPARG SMARCA4
PPARG CDK9
PPARG TRIM24
PPARG CAV1
PPARG CLU
PPARG COPS5
PPARG NCOA3
PPARG KLF5
PPARG MRE11
PPARG NRIP1
PPARG SFPQ
PPARG NCOA4
PPARG STAT5A
PPARG ZNHIT3
PPARG PPARGC1A
PPARG HDAC4
PPARG EDF1
PPARG NR0B2
PPARG HMGA1
PPARG CEBPB
PPARG TRIP4
PPARG JMJD1C
PPARG NCOA2
PPARG GRIP1
PPARG NCOA6
PPARG NR0B1
PPARG RXRB
PPARG KLF4
PPARG TNP1
PPARG KCTD13
PPARG CDC34
PPARG NEDD4
PPARG SMARCD3
PPARG CDK5
PPARG MUC1
PPARG VDR
PPARG MAP2K1
PPARG PPM1B
PPARG LMO4
PPARG PRKCA
PPARG STAT6
PPARG STUB1
PPARG PAK4
PPARG SELENOS
PPARG SELENOK
PPARG NBN
PPARG RAD50
PPARG MAP4K4
PPARG TUBB
PPARG HSP90AB1
PPARG DNTTIP2
PPARG OPTN
PPARG NFATC4
PPARG HELZ2
PPARG CCDC88A
PPARG STMN1
PPARG MARCHF6
PPARG MSX2
PPARG NFE2L2
PPARG ZBTB5
PPARG GADD45B
PPARG ZSCAN1
PPARG BRD8
PPARG ATP6V1C1
PPARG RANBP9
PPARG ZBTB3
PPARG CEBPA
PPARG FHOD1
PPARG NR2E3
PPARG PSMD1
PPARG RORA
PPARG CHD8
PPARG DUT
PPARG ZNF496
PPARG FABP1
PPARG SREBF1
PPARG FOXO1
PPARG PPARG
PPARG ZBTB20
PPARG SVIL
PPARG MAFF
PPARG MED24
PPARG PRNP
PPARG GADD45G
PPARG RXRG
PPARG ZBTB9
PPARG SREBF2
PPARG ADCY4
PPARG GATA5
JDP2 MAPK9
JDP2 MAPK14
JDP2 CREBBP
JDP2 JUN
JDP2 EEF1A1
JDP2 EP300
JDP2 HDAC6
JDP2 UBC
JDP2 KAT2B
JDP2 ATF4
JDP2 JUND
JDP2 JUNB
JDP2 DDIT3
JDP2 PGR
JDP2 SNW1
JDP2 ATF2
JDP2 IRF2BP1
JDP2 EEF1G
JDP2 EEF1D
JDP2 VARS1
JDP2 RPLP0
JDP2 ATF7
JDP2 GTF2H1
JDP2 CREB5
ZFP36 MAPK9
ZFP36 MAPK10
ZFP36 MAPK14
ZFP36 MAPK11
ZFP36 HDAC1
ZFP36 HDAC3
ZFP36 HDAC7
ZFP36 MAPK1
ZFP36 MAPK7
ZFP36 KRT15
ZFP36 YWHAG
ZFP36 HSPA4
ZFP36 SH3KBP1
ZFP36 STAT2
ZFP36 DDX17
ZFP36 MAPK3
ZFP36 YWHAQ
ZFP36 PABPC1
ZFP36 SFN
ZFP36 YWHAB
ZFP36 YWHAH
ZFP36 MAPKAPK2
ZFP36 PPP2CA
ZFP36 NUP214
ZFP36 DCP1A
ZFP36 RUNX1T1
ZFP36 XRN1
ZFP36 MAPK6
ZFP36 TNF
ZFP36 PRR5L
ZFP36 EXOSC6
ZFP36 EDC3
ZFP36 MAPK13
ZFP36 MAPK12
ZFP36 HOXC9
ZFP36 CCDC85B
ZFP36 DCP2
ZFP36 UPF2
ZFP36 HMGB1
ZFP36 EXOSC8
ZFP36 MAPK4
ZFP36 EDC4
AKT1 PKN2
AKT1 FOXO1
AKT1 LRRK2
AKT1 RGCC
AKT1 PFKP
AKT1 SIRPA
AKT1 ATM
AKT1 PRKCA
AKT1 PDE3B
AKT1 RUNX2
AKT1 PTPN1
AKT1 UXS1
PKN2 MAP3K2
PKN2 PLCG1
PKN2 USP11
PKN2 EEF1A1
PKN2 CDK1
PKN2 VCP
PKN2 CCDC136
PKN2 RHOA
PKN2 CASP3
PKN2 HDAC5
PKN2 NCK1
PKN2 NCK2
PKN2 PDK1
PKN2 PDPK1
PKN2 CHGB
PKN2 WDR20
PKN2 PKN2
PKN2 FAM193B
FOXO1 SMAD4
FOXO1 MDM2
FOXO1 CREBBP
FOXO1 CTNNB1
FOXO1 SIRT1
FOXO1 PARP1
FOXO1 CDK1
FOXO1 EHMT2
FOXO1 AR
FOXO1 EP300
FOXO1 ESR1
FOXO1 SRC
FOXO1 YWHAG
FOXO1 GSK3B
FOXO1 CEBPB
FOXO1 SIRT2
FOXO1 CDK2
FOXO1 SKP2
FOXO1 DYRK1A
FOXO1 YWHAZ
FOXO1 HNF4A
FOXO1 CRY1
FOXO1 PRKACA
FOXO1 TSC2
FOXO1 FHL2
FOXO1 ATG7
FOXO1 CCNB1
FOXO1 FOXG1
FOXO1 PDK4
FOXO1 SGK1
FOXO1 GSK3A
FOXO1 COP1
FOXO1 HOXA5
FOXO1 IGFBP1
FOXO1 AKT3
FOXO1 STK4
FOXO1 CSNK1A1
FOXO1 CSNK1G1
FOXO1 G6PC1
FOXO1 AKT2
FOXO1 HOXA10
FOXO1 SGK2
FOXO1 HOXA11
FOXO1 PAK1
FOXO1 NLK
LRRK2 TP53
LRRK2 PRKDC
