MAP2K4 BLNK
ARHGEF6 TRAF2
ARHGEF6 HSF2BP
ARHGEF6 RWDD2A
ARHGEF6 KRT27
ARHGEF6 POU6F2
ARHGEF6 CBFA2T3
ARHGEF6 PNMA1
FBXW11 NFKB1
FBXW11 KHDRBS2
FBXW11 HIVEP1
FBXW11 HIVEP2
FBXW11 DEPTOR
FBXW11 RAPGEF2
FBXW11 DENND4C
FBXW11 REL
NFKB1 MAP3K7
NFKB1 SPI1
NFKB1 ZFYVE9
NFKB1 NCOR2
NFKB1 SIN3A
NFKB1 NCOR1
NFKB1 HDAC1
NFKB1 HDAC3
NFKB1 RXRA
NFKB1 RELA
NFKB1 STAT3
NFKB1 SP1
NFKB1 KAT5
NFKB1 BANP
NFKB1 CTNNB1
NFKB1 CHEK2
NFKB1 TP53BP1
NFKB1 PRKDC
NFKB1 PARP1
NFKB1 HNRNPF
NFKB1 PPP4C
NFKB1 AR
NFKB1 NR3C1
NFKB1 EP300
NFKB1 NCOA1
NFKB1 ESR1
NFKB1 BCL3
NFKB1 LYL1
NFKB1 MAP3K8
NFKB1 COPB2
NFKB1 REL
NFKB1 SPAG9
NFKB1 NFKB2
NFKB1 NFKB1
NFKB1 RELB
NFKB1 IKBKG
NFKB1 TNIP2
NFKB1 KLF5
NFKB1 HMGA2
NFKB1 TAB2
NFKB1 IKBKB
NFKB1 BTRC
NFKB1 ELF1
NFKB1 NOTCH1
NFKB1 ITGB3BP
NFKB1 CHUK
NFKB1 ELF3
NFKB1 NFKBIE
NFKB1 NFKBIA
NFKB1 NFKBIZ
NFKB1 STAT6
NFKB1 TSC22D3
NFKB1 RPS3
NFKB1 PSMD10
NFKB1 DPF2
NFKB1 SF1
NFKB1 HDAC5
NFKB1 RUVBL2
NFKB1 DPF3
NFKB1 TNIP1
NFKB1 CUL4A
NFKB1 COPS5
NFKB1 ABCC2
NFKB1 MXD3
NFKB1 HIF1AN
NFKB1 ECSIT
NFKB1 PPARG
NFKB1 NFKBIB
NFKB1 AURKA
NFKB1 TRIP4
NFKB1 RNF123
NFKB1 TUBB2B
NFKB1 MTIF2
NFKB1 TXN
NFKB1 CLTC
NFKB1 DNAJA1
NFKB1 MAP2K5
NFKB1 DDX46
NFKB1 FOS
NFKB1 CFLAR
NFKB1 E2F1
NFKB1 DSP
NFKB1 CEBPB
NFKB1 ERCC6
NFKB1 COMMD3
NFKB1 CCAR2
NFKB1 BAG2
NFKB1 IL2RA
NFKB1 CALM1
NFKB1 PELP1
NFKB1 PLD3
NFKB1 IRF2
NFKB1 STUB1
NFKB1 COMMD8
NFKB1 YY1
NFKB1 DDX3X
NFKB1 HTT
NFKB1 RPL7A
NFKB1 INPP4A
NFKB1 SKP1
NFKB1 G3BP2
NFKB1 COMMD1
NFKB1 CUL1
NFKB1 MYH9
NFKB1 CALM3
NFKB1 GRK2
NFKB1 HSPA9
NFKB1 IFNGR1
NFKB1 COMMD2
NFKB1 POU2F1
NFKB1 KPNA3
NFKB1 TUBB6
NFKB1 MCC
NFKB1 CKB
NFKB1 AKAP8
NFKB1 ZBTB9
NFKB1 KPNA1
NFKB1 CDK9
NFKB1 HSP90AB1
NFKB1 COMMD5
NFKB1 POLR2L
NFKB1 HSPA8
NFKB1 TUBB4A
NFKB1 VIM
NFKB1 ARHGEF4
NFKB1 POLR1B
NFKB1 POU2F2
NFKB1 SARAF
NFKB1 POLR1A
NFKB1 PCBD1
NFKB1 SPTBN1
NFKB1 TUBA3C
NFKB1 IRF8
NFKB1 HSPA4
NFKB1 NCOA6
NFKB1 MYL6
NFKB1 PDCD2
NFKB1 PRKACA
NFKB1 PIK3CG
NFKB1 NACA
NFKB1 RASAL2
NFKB1 TIMM50
NFKB1 INTS3
NFKB1 TBK1
NFKB1 RPL30
NFKB1 IRF9
NFKB1 FLNB
NFKB1 HSPA6
NFKB1 ATF3
NFKB1 BRCA1
NFKB1 COMMD10
NFKB1 CALM2
NFKB1 PRKCA
NFKB1 HSPA1L
NFKB1 CAD
NFKB1 PRKACB
NFKB1 GSK3B
NFKB1 RPS13
NFKB1 MTPN
NFKB1 PCBP2
NFKB1 HMGB2
NFKB1 POLR1E
NFKB1 LYZ
NFKB1 MYH10
NFKB1 TUBB
NFKB1 LRPPRC
NFKB1 TNIP3
NFKB1 GLG1
NFKB1 ZFP36
NFKB1 ETS1
NFKB1 ACTG1
NFKB1 ANXA4
NFKB1 PLS3
NFKB1 IKBKE
NFKB1 PRKACG
NFKB1 NONO
NFKB1 TNRC6B
NFKB1 COMMD9
NFKB1 NFRKB
NFKB1 SLC25A6
NFKB1 VPS4A
NFKB1 JAKMIP1
NFKB1 HSPA1A
NFKB1 TPR
NFKB1 PDCD11
NFKB1 SPTAN1
NFKB1 HMGB1
NFKB1 RUVBL1
NFKB1 HNRNPM
NFKB1 UNC5CL
NFKB1 COMMD4
NFKB1 APC
NFKB1 ALB
NFKB1 RSF1
NFKB1 CITED1
NFKB1 SMG7
NFKB1 IRF1
NFKB1 MPP6
NFKB1 MATR3
NFKB1 COMMD7
NFKB1 UBE2D3
NFKB1 SFPQ
NFKB1 MYL12A
NFKB1 RBPJ
NFKB1 POLR1G
NFKB1 POLR2H
NFKB1 PAK2
NFKB1 UBE2K
NFKB1 POLR1D
NFKB1 SLC25A5
NFKB1 GRB14
NFKB1 PIK3R2
NFKB1 APLP2
NFKB1 YWHAG
NFKB1 COMMD6
NFKB1 RPL6
NFKB1 ATP5PF
NFKB1 HSPA5
NFKB1 HSP90AA1
NFKB1 KPNA2
NFKB1 C1QBP
NFKB1 EEF1A2
NFKB1 TUBA3D
NFKB1 RPS8
NFKB1 KPNA4
NFKB1 GTF2I
NFKB1 DNAJA3
NFKB1 DST
NFKB1 IQGAP2
NFKB1 NKRF
NFKB1 RPS24
NFKB1 C1orf52
KHDRBS2 HHEX
KHDRBS2 RBM14
KHDRBS2 ZFC3H1
KHDRBS2 CHTOP
KHDRBS2 PRMT1
KHDRBS2 EWSR1
KHDRBS2 GRB2
KHDRBS2 KHDRBS1
KHDRBS2 HNRNPK
KHDRBS2 PTK6
KHDRBS2 LYN
KHDRBS2 RFC3
KHDRBS2 MTA1
KHDRBS2 SYNCRIP
KHDRBS2 KHDRBS3
KHDRBS2 RBMX
KHDRBS2 HNRNPR
KHDRBS2 DOCK2
KHDRBS2 RBM3
KHDRBS2 TYK2
KHDRBS2 PRPF31
KHDRBS2 NPDC1
KHDRBS2 NCOA5
KHDRBS2 PRR3
KHDRBS2 YTHDC1
KHDRBS2 CATSPER1
KHDRBS2 CIRBP
KHDRBS2 SPG7
KHDRBS2 AEN
KHDRBS2 LINC01018
KHDRBS2 SULT1A3
KHDRBS2 TMEM14B
KHDRBS2 HBZ
KHDRBS2 TYMSOS
KHDRBS2 KHDRBS2
KHDRBS2 NABP1
KHDRBS2 LNX1
KHDRBS2 BAHD1
KHDRBS2 CNNM3
KHDRBS2 ZNF837
KHDRBS2 ZNF581
KHDRBS2 ZNF497
KHDRBS2 LMNTD2
